SectionID,raisedhands,VisitedResources,Discussion,StudentAbsenceDays,Class,Student number
7,15,16,20,0,3,1
7,20,20,25,0,3,2
7,10,7,30,1,2,3
7,30,25,35,1,2,4
7,40,50,50,1,3,5
7,42,30,70,1,3,6
7,35,12,17,1,2,7
7,50,10,22,0,3,8
7,12,21,50,0,3,9
8,70,80,70,0,3,10
7,50,88,80,0,4,11
8,19,6,12,0,3,12
7,5,1,11,1,2,13
7,20,14,19,1,2,14
7,62,70,60,1,4,15
7,30,40,66,0,3,16
8,36,30,80,1,3,17
7,55,13,90,1,3,18
7,69,15,96,0,3,19
8,70,50,99,0,4,20
7,60,60,90,1,3,21
8,10,12,80,0,3,22
7,15,21,90,0,3,23
7,2,0,50,1,2,24
8,0,2,70,1,2,25
7,8,7,40,1,2,26
8,19,19,40,0,3,27
7,25,15,33,1,2,28
7,75,85,43,0,3,29
7,30,90,35,0,3,30
7,35,80,70,0,4,31
7,4,5,16,1,2,32
7,2,19,50,1,2,33
7,8,22,40,1,2,34
8,12,11,40,1,2,35
7,10,12,30,1,2,36
8,8,6,22,1,2,37
7,45,54,90,0,3,38
7,0,0,4,1,2,39
8,50,90,70,0,3,40
7,14,13,70,1,2,41
7,19,20,50,0,3,42
7,10,12,33,1,2,43
7,30,35,90,0,3,44
7,33,33,90,0,3,45
7,20,12,70,1,2,46
7,7,10,30,1,2,47
7,70,4,90,0,4,48
7,13,80,88,0,4,49
7,29,39,77,0,3,50
7,20,14,70,1,2,51
7,39,15,50,1,2,52
7,55,90,40,0,3,53
7,49,70,75,0,4,54
7,12,50,30,1,2,55
7,16,14,20,1,2,56
8,19,5,1,1,2,57
7,5,2,5,1,2,58
7,28,60,50,0,3,59
7,27,22,40,0,3,60
7,21,10,20,1,2,61
7,50,70,40,0,3,62
7,80,90,80,0,4,63
7,17,13,12,0,3,64
7,0,5,2,1,2,65
7,13,5,19,1,2,66
7,25,10,30,1,3,67
7,65,75,80,0,4,68
7,70,69,30,0,4,69
7,39,40,33,0,3,70
7,22,30,12,1,2,71
7,29,22,20,0,3,72
7,11,2,8,0,2,73
7,19,30,19,1,3,74
8,12,0,13,0,2,75
7,50,90,60,0,3,76
