,SectionID,raisedhands,VisitedResources,Discussion,StudentAbsenceDays,Class,Student number,AssnDays
0,7,15,16,20,0,3,1,3
1,7,20,20,25,0,3,2,3
2,7,10,7,30,1,2,3,4
3,7,30,25,35,1,2,4,3
4,7,40,50,50,1,3,5,3
5,7,42,30,70,1,3,6,4
6,7,35,12,17,1,2,7,3
7,7,50,10,22,0,3,8,2
8,7,12,21,50,0,3,9,4
9,8,70,80,70,0,3,10,1
10,7,50,88,80,0,4,11,2
11,8,19,6,12,0,3,12,3
12,7,5,1,11,1,2,13,4
13,7,20,14,19,1,2,14,3
14,7,62,70,60,1,4,15,1
15,7,30,40,66,0,3,16,3
16,8,36,30,80,1,3,17,4
17,7,55,13,90,1,3,18,2
18,7,69,15,96,0,3,19,1
19,8,70,50,99,0,4,20,1
20,7,60,60,90,1,3,21,1
21,8,10,12,80,0,3,22,4
22,7,15,21,90,0,3,23,4
23,7,2,0,50,1,2,24,3
24,8,0,2,70,1,2,25,4
25,7,8,7,40,1,2,26,4
26,8,19,19,40,0,3,27,4
27,7,25,15,33,1,2,28,3
28,7,75,85,43,0,3,29,2
29,7,30,90,35,0,3,30,3
30,7,35,80,70,0,4,31,4
31,7,4,5,16,1,2,32,3
32,7,2,19,50,1,2,33,3
33,7,8,22,40,1,2,34,4
34,8,12,11,40,1,2,35,3
35,7,10,12,30,1,2,36,4
36,8,8,6,22,1,2,37,4
37,7,45,54,90,0,3,38,4
38,7,0,0,4,1,2,39,4
39,8,50,90,70,0,3,40,1
40,7,14,13,70,1,2,41,4
41,7,19,20,50,0,3,42,4
42,7,10,12,33,1,2,43,4
43,7,30,35,90,0,3,44,4
44,7,33,33,90,0,3,45,3
45,7,20,12,70,1,2,46,4
46,7,7,10,30,1,2,47,4
47,7,70,4,90,0,4,48,1
48,7,13,80,88,0,4,49,3
49,7,29,39,77,0,3,50,4
50,7,20,14,70,1,2,51,4
51,7,39,15,50,1,2,52,4
52,7,55,90,40,0,3,53,1
